usuario_id,nombre,timestamp,dia,gratitud
1,Ana,2026-03-13T22:34:00,5,descanso
1,Ana,2026-03-13T22:37:00,5,café matutino
1,Ana,2026-03-15T21:07:00,7,ayuda de amigos
2,Carlos,2026-03-09T21:14:00,1,tiempo en familia
2,Carlos,2026-03-10T20:22:00,2,trabajo estable
2,Carlos,2026-03-10T23:13:00,2,tiempo en familia
2,Carlos,2026-03-11T20:34:00,3,tiempo en familia
2,Carlos,2026-03-11T21:18:00,3,proyecto completado
2,Carlos,2026-03-13T20:03:00,5,tiempo en familia
2,Carlos,2026-03-15T22:40:00,7,proyecto completado
3,Luna,2026-03-11T23:07:00,3,arte
3,Luna,2026-03-11T22:39:00,3,exposición
3,Luna,2026-03-12T22:36:00,4,arte
3,Luna,2026-03-14T21:42:00,6,nueva idea
